Date	Instrument	LANE	Undet	SingleMisID	SmisIdAny	UDI	LibraryPrep	Dups	PF
2017-07-10	H4	6	 5.4	 0.143	 2.302	1	NA	12.3978849848	77.59524993817655
2017-07-10	H4	7	 5.4	 0.158	 2.501	1	NA	11.1254054763	74.98105854502792
2017-07-10	H4	8	 5.2	 0.157	 2.485	1	NA	12.4015138718	71.73642364460055
2017-07-14	H4	1	 5.7	 0.190	 1.862	1	NA	5.49217036895	78.27052207316683
2017-07-14	H4	2	 5.2	 0.173	 1.984	1	NA	6.48354067326	78.82439642836853
2017-07-14	H4	3	 4.9	 0.201	 2.035	1	NA	5.95651393809	78.78176412742471
2017-07-14	H4	4	 6.2	 0.179	 2.917	1	NA	5.90679839794	79.1230395174839
2017-07-14	H4	5	 5.2	 0.157	 1.878	1	NA	6.25911880992	79.44264729923859
2017-07-14	H4	7	 6.2	 1.233	 3.224	1	NA	7.23726343259	71.7649057045364
2017-07-14	H4	8	 5.5	 1.124	 2.973	1	NA	6.26062404615	72.74402188343136
2017-07-19	NS	1	 4.9	 0.000	 2.871	0	NA	NA	85.4
2017-07-19	NS	2	 5.5	 0.000	 3.387	0	NA	NA	85.4
2017-07-19	NS	3	 4.9	 0.000	 2.793	0	NA	NA	85.4
2017-07-19	NS	4	 5.7	 0.000	 3.355	0	NA	NA	85.4
2017-08-03	H4	3	 4.5	 0.572	 2.267	1	NA	8.49626089321	80.06599394635364
2017-08-03	H4	4	 4.1	 0.092	 1.509	1	NA	5.13424306117	82.94800800947037
2017-08-03	H4	5	 4.1	 0.144	 1.494	1	NA	27.5500537035	81.10276535925595
2017-08-03	H4	6	 5.6	 0.232	 2.131	1	NA	34.873551054	69.00086097334378
2017-08-03	H4	7	 4.3	 0.125	 1.721	1	NA	6.6510872485	76.56356477747781
2017-08-03	H4	8	12.7	 7.211	10.054	1	NA	9.14568041989	75.86804867132997
2017-08-04	NS	1	 5.3	 0.000	 2.942	0	NA	NA	86.4
2017-08-04	NS	2	 6.0	 0.000	 3.508	0	NA	NA	86.4
2017-08-04	NS	3	 5.4	 0.000	 2.900	0	NA	NA	86.4
2017-08-04	NS	4	 6.3	 0.000	 3.506	0	NA	NA	86.4
2017-08-08	H4	1	 9.6	 4.170	 6.644	1	NA	6.34277119384	71.79244529846109
2017-08-08	H4	2	10.3	 3.889	 6.760	1	NA	7.82652189935	72.63255995632522
2017-08-08	H4	3	12.5	 5.520	 9.167	1	NA	8.08802454686	72.04460775276847
2017-08-08	H4	4	25.7	 3.496	22.575	0	NA	6.22925360197	71.81177682504236
2017-08-08	H4	5	 5.5	 1.212	 3.356	1	NA	5.00726976966	68.73008916324753
2017-08-08	H4	6	 5.9	 1.239	 3.628	1	NA	3.70767562047	67.5265633796798
2017-08-08	H4	7	 7.7	 0.289	 3.241	1	NA	21.1111399205	68.29767594341428
2017-08-08	H4	8	 6.6	 0.243	 2.849	1	NA	20.6314490656	67.05315164609391
2017-08-14	NS	1	 4.8	 0.000	 1.522	0	NA	NA	92.2
2017-08-14	NS	2	 5.2	 0.000	 1.752	0	NA	NA	92.2
2017-08-14	NS	3	 5.1	 0.000	 1.662	0	NA	NA	92.2
2017-08-14	NS	4	 5.8	 0.000	 2.122	0	NA	NA	92.2
2017-08-15	NS	1	66.5	 0.000	27.036	0	NA	NA	64.7
2017-08-15	NS	2	67.7	 0.000	28.589	0	NA	NA	64.7
2017-08-15	NS	3	65.6	 0.000	27.709	0	NA	NA	64.7
2017-08-15	NS	4	67.3	 0.000	28.662	0	NA	NA	64.7
2017-08-16	H4	1	 5.4	 1.442	 3.338	1	NA	3.9617631101	76.78737519571905
2017-08-16	H4	2	 6.2	 2.153	 4.176	1	NA	5.85854061286	78.86802709730573
2017-08-16	H4	3	 6.6	 1.663	 4.850	1	NA	5.87910601315	77.50448396010637
2017-08-16	H4	4	 5.2	 0.165	 1.740	1	NA	9.84482223124	75.96870081143177
2017-08-16	H4	5	 6.0	 0.261	 2.061	1	NA	11.5142261926	70.47212184710749
2017-08-16	H4	6	 4.7	 0.147	 1.394	1	NA	8.33063728404	76.51772846477587
2017-08-16	H4	7	 5.1	 0.151	 1.459	1	NA	9.54578077703	75.83978545730223
2017-08-16	H4	8	 5.9	 0.161	 1.631	1	NA	7.03786354017	69.90642732833412
2017-08-16	NS	1	 4.5	 0.001	 1.634	0	NA	NA	87.5
2017-08-16	NS	2	 4.8	 0.001	 1.785	0	NA	NA	87.5
2017-08-16	NS	3	 4.8	 0.001	 1.641	0	NA	NA	87.5
2017-08-16	NS	4	 4.8	 0.001	 1.645	0	NA	NA	87.5
2017-08-18	MS	1	 2.7	 0.000	 0.781	0	NA	NA	81.4
2017-08-21	MS	1	 2.4	 0.000	 0.772	0	NA	NA	87.5
2017-08-21	NS	1	 5.3	 0.000	 1.571	0	NA	NA	91
2017-08-21	NS	2	 5.5	 0.000	 1.784	0	NA	NA	91
2017-08-21	NS	3	 5.4	 0.000	 1.674	0	NA	NA	91
2017-08-21	NS	4	 5.8	 0.000	 1.789	0	NA	NA	91
2017-08-22	H4	1	 4.4	 0.172	 1.434	1	NA	19.1915359521	82.92855411966138
2017-08-22	H4	2	 5.0	 0.200	 1.608	1	NA	16.6207070459	83.81184456996303
2017-08-22	H4	3	 4.9	 0.145	 1.349	1	NA	14.8130092441	81.46055564417055
2017-08-22	H4	4	 5.6	 0.669	 1.968	1	NA	16.713459112	84.0881171351087
2017-08-22	H4	5	 4.4	 0.177	 1.328	1	NA	24.8951300226	82.76288383336207
2017-08-22	H4	6	 4.5	 0.157	 1.415	1	NA	17.5252814833	81.69542595902543
2017-08-22	H4	7	 5.2	 0.167	 1.266	1	NA	20.3068330481	81.81778401064174
2017-08-22	H4	8	 6.3	 0.260	 2.092	1	NA	26.4880670215	74.33117398469163
2017-08-31	H4	1	 6.7	 0.452	 2.552	1	NA	31.7010529658	71.91682865818845
2017-08-31	H4	2	 6.3	 0.444	 2.327	1	NA	30.7048555184	72.24715388515463
2017-08-31	H4	3	 7.2	 0.417	 3.042	1	NA	29.4633356036	70.8754447106207
2017-08-31	H4	4	 6.9	 0.379	 2.441	1	NA	26.5022941839	70.83860716774387
2017-08-31	H4	5	 6.3	 0.380	 2.182	1	NA	27.8018272747	70.66392134102479
2017-08-31	H4	6	 5.0	 0.172	 1.544	1	NA	13.6328934019	77.52954543986412
2017-08-31	H4	7	 4.7	 0.201	 1.444	1	NA	13.8795959451	80.04912831832097
2017-09-05	NS	1	17.7	 0.042	 3.911	0	NA	NA	88.6
2017-09-05	NS	2	19.0	 0.041	 5.099	0	NA	NA	88.6
2017-09-05	NS	3	16.8	 0.042	 3.751	0	NA	NA	88.6
2017-09-05	NS	4	18.6	 0.041	 5.090	0	NA	NA	88.6
2017-09-12	H4	5	 4.9	 0.189	 1.467	1	NA	18.9819750914	81.40270413209232
2017-09-12	H4	6	 4.5	 0.156	 1.341	1	NA	11.3962242182	80.23972923233079
2017-09-12	H4	7	 4.5	 0.135	 1.769	1	NA	7.11419223677	78.4584734402643
2017-09-12	H4	8	 4.7	 0.124	 2.102	1	NA	5.98091071041	76.68380538623467
2017-09-15	NS	1	 5.3	 0.000	 1.636	0	NA	NA	80.1
2017-09-15	NS	2	 5.7	 0.000	 2.198	0	NA	NA	80.1
2017-09-15	NS	3	 5.5	 0.000	 1.605	0	NA	NA	80.1
2017-09-15	NS	4	 6.2	 0.000	 2.218	0	NA	NA	80.1
2017-09-20	H4	3	 6.0	 0.174	 2.499	1	NA	7.84786236022	67.67182426636309
2017-09-20	H4	4	 4.0	 0.135	 1.911	1	NA	10.7176461661	72.63578550069873
2017-09-20	H4	5	 4.0	 0.139	 1.768	1	NA	10.2923138924	71.64336361481595
2017-09-20	H4	6	 4.2	 0.126	 1.827	1	NA	8.71758096169	70.99290222884102
2017-09-20	H4	7	 4.6	 0.117	 1.791	1	NA	9.35734202599	71.37079279611446
2017-09-20	H4	8	 4.4	 0.122	 1.626	1	NA	8.79718856313	71.6205380073022
2017-09-29	MS	1	 5.2	 0.005	 3.379	0	NA	NA	93.2
2017-10-06	MS	1	 5.5	 0.096	 3.654	0	NA	NA	91.1
2017-10-09	NS	1	 4.9	 0.000	 2.149	0	NA	NA	80.8
2017-10-09	NS	2	 5.4	 0.000	 2.415	0	NA	NA	80.8
2017-10-09	NS	3	 5.0	 0.000	 2.162	0	NA	NA	80.8
2017-10-09	NS	4	 5.8	 0.000	 2.580	0	NA	NA	80.8
2017-10-13	NS	1	45.5	17.444	33.187	0	NA	NA	65.7
2017-10-13	NS	2	48.2	16.852	33.683	0	NA	NA	65.7
2017-10-13	NS	3	46.8	16.988	32.950	0	NA	NA	65.7
2017-10-13	NS	4	48.1	16.929	33.741	0	NA	NA	65.7
2017-10-24	NS	1	 4.2	 0.000	 1.883	0	NA	NA	80.8
2017-10-24	NS	2	 4.5	 0.000	 2.086	0	NA	NA	80.8
2017-10-24	NS	3	 4.3	 0.000	 1.815	0	NA	NA	80.8
2017-10-24	NS	4	 5.7	 0.000	 2.571	0	NA	NA	80.8
2017-10-25	H4	1	 5.4	 0.180	 1.696	1	NA	34.04328198	77.93361242087386
2017-10-25	H4	2	 4.4	 0.186	 1.527	1	NA	31.6715677252	76.8457372792348
2017-10-30	MS	1	35.5	 0.000	 3.641	0	NA	NA	94.7
2017-10-30	NS	1	 4.5	 0.000	 1.278	0	NA	NA	86.5
2017-10-30	NS	2	 5.1	 0.000	 1.466	0	NA	NA	86.5
2017-10-30	NS	3	 4.6	 0.000	 1.220	0	NA	NA	86.5
2017-10-30	NS	4	 5.6	 0.000	 1.581	0	NA	NA	86.5
2017-10-31	NS	1	 3.6	 0.000	 1.308	0	NA	NA	90.2
2017-10-31	NS	2	 4.2	 0.000	 1.581	0	NA	NA	90.2
2017-10-31	NS	3	 3.7	 0.000	 1.255	0	NA	NA	90.2
2017-10-31	NS	4	 4.3	 0.000	 1.569	0	NA	NA	90.2
2017-10-31	NS	1	 3.9	 0.000	 1.266	0	NA	NA	87.5
2017-10-31	NS	2	 4.5	 0.000	 1.484	0	NA	NA	87.5
2017-10-31	NS	3	 4.9	 0.000	 1.456	0	NA	NA	87.5
2017-10-31	NS	4	 5.0	 0.000	 1.563	0	NA	NA	87.5
2017-11-07	NS	1	 3.7	 0.000	 1.332	0	NA	NA	92.4
2017-11-07	NS	2	 4.1	 0.000	 1.696	0	NA	NA	92.4
2017-11-07	NS	3	 3.7	 0.000	 1.318	0	NA	NA	92.4
2017-11-07	NS	4	 4.7	 0.000	 1.782	0	NA	NA	92.4
2017-11-08	H4	1	 5.4	 0.166	 2.182	1	NA	14.4177298418	70.14381406056594
2017-11-08	H4	2	 6.1	 0.188	 2.293	1	NA	14.2463704509	72.2468443538087
2017-11-08	H4	3	 6.0	 0.181	 2.200	1	NA	15.9005542595	70.53560641559305
2017-11-08	H4	4	 5.5	 0.183	 2.078	1	NA	15.8490175318	71.7312104741929
2017-11-08	H4	5	 5.7	 0.162	 2.111	1	NA	11.6472212937	70.53543891669081
2017-11-08	H4	6	 4.7	 0.150	 1.908	1	NA	11.717104257	70.05754156664352
2017-11-08	H4	7	 6.8	 1.224	 2.923	1	NA	11.2602067022	69.36538951755844
2017-11-14	H4	1	24.4	 0.034	 3.542	1	NA	16.3803904912	76.29430770405507
2017-11-14	H4	2	26.6	 1.441	 4.937	1	NA	19.4098837199	78.0378660979406
2017-11-14	H4	3	25.6	 0.960	 5.225	1	NA	16.1621401942	78.03151314822904
2017-11-14	H4	4	24.2	 0.038	 3.796	1	NA	17.7793838804	74.51259392982323
2017-11-14	H4	5	27.2	 0.023	 3.961	1	NA	22.792705845	76.36090891157102
2017-11-14	H4	6	24.8	 0.038	 3.643	1	NA	17.1663141948	77.23841909691217
2017-11-14	H4	7	26.3	 0.019	 3.987	1	NA	21.0759523692	77.76124838981588
2017-11-14	H4	8	23.4	 0.012	 3.551	1	NA	21.020643623	74.66518294524107
2017-11-23	H4	1	 5.0	 0.134	 1.785	1	NA	12.6225291978	71.30824986546256
2017-11-23	H4	2	 5.4	 0.174	 1.933	1	NA	13.679066658	73.67778996026901
2017-11-23	H4	3	 5.0	 0.178	 1.870	1	NA	11.3954440134	69.40728722504713
2017-11-23	H4	4	 5.2	 0.192	 1.637	1	NA	15.2744170516	75.16674443253525
2017-11-23	H4	5	 4.7	 0.157	 2.008	1	NA	9.3123788178	69.88667674393066
2017-11-23	H4	6	 4.8	 0.157	 2.126	1	NA	8.19967916674	69.4477979422439
2017-11-23	H4	7	 5.3	 0.193	 2.176	1	NA	8.56386958073	69.19093330305517
2017-11-23	H4	8	 5.2	 0.152	 2.007	1	NA	8.36070086793	69.00291630288969
2017-11-24	MS	1	 4.4	 0.000	 2.959	0	NA	NA	86.8
2017-11-24	NS	1	 3.7	 0.007	 1.921	1	NA	NA	87.5
2017-11-24	NS	2	 4.3	 0.012	 2.543	1	NA	NA	87.5
2017-11-24	NS	3	 3.8	 0.008	 1.850	1	NA	NA	87.5
2017-11-24	NS	4	 5.0	 0.010	 2.750	1	NA	NA	87.5
2017-11-28	H4	1	 6.1	 0.159	 3.209	1	NA	12.4307334874	67.89014469586257
2017-11-28	H4	2	 6.0	 0.225	 3.178	1	NA	13.0624847361	69.74161213531825
2017-11-28	H4	3	 6.1	 0.192	 3.274	1	NA	14.1746804773	68.52728484652133
2017-11-28	H4	4	 5.6	 0.186	 2.876	1	NA	14.4000355084	69.78369287003758
2017-11-28	H4	5	 5.2	 0.189	 2.440	1	NA	12.1265143637	70.90631461337443
2017-11-28	H4	6	 5.6	 0.216	 2.718	1	NA	11.6383442944	70.17818135696223
2017-11-28	H4	7	 5.4	 0.179	 2.272	1	NA	12.5712598647	70.77834669432117
2017-11-28	H4	8	 5.6	 0.190	 2.337	1	NA	12.278286633	67.96604074666497
2017-12-01	H4	1	 7.1	 0.272	 2.895	1	NA	12.9509270504	67.49662538367393
2017-12-01	H4	2	 5.8	 0.255	 2.324	1	NA	14.7755897603	68.80651400539276
2017-12-01	H4	3	 6.1	 0.217	 2.520	1	NA	15.3736722486	69.22210404129095
2017-12-01	H4	4	 6.1	 0.650	 3.459	1	NA	2.02507236503	60.363722313404566
2017-12-01	H4	5	 5.3	 0.584	 2.889	1	NA	1.78074299398	57.58096863807699
2017-12-01	H4	6	 5.0	 0.570	 2.859	1	NA	2.18006988716	60.70791040378126
2017-12-01	H4	7	 5.4	 0.563	 3.106	1	NA	1.48764766227	57.0783133353309
2017-12-01	H4	8	 4.9	 0.474	 2.615	1	NA	1.82244938058	58.093926469099955
2017-12-05	H4	1	 6.9	 0.698	 4.015	1	NA	3.85559568802	67.80316825105307
2017-12-05	H4	2	 5.4	 0.671	 3.481	1	NA	4.04778351167	66.94908886394418
2017-12-05	H4	3	 5.9	 0.663	 3.860	1	NA	4.34080344424	69.99942710820454
2017-12-05	H4	4	 5.1	 0.695	 3.156	1	NA	3.52105235115	68.81794678893218
2017-12-05	H4	5	 4.3	 0.573	 2.506	1	NA	4.23273357852	68.38499235509336
2017-12-05	H4	6	 4.6	 0.140	 1.841	1	NA	15.6112196412	72.928750811821
2017-12-05	H4	7	 4.0	 0.132	 1.826	1	NA	15.1150428458	71.17545864056649
2017-12-05	H4	8	 4.5	 0.169	 1.976	1	NA	16.0011118062	69.60660056650654
2017-12-08	H4	2	 4.4	 0.157	 2.383	1	NA	11.2847332199	70.568577197656
2017-12-08	H4	3	 5.1	 0.136	 2.382	1	NA	10.6880462581	69.92012600555243
2017-12-08	H4	4	 5.4	 0.630	 3.403	1	NA	4.52258198477	66.43798842804122
2017-12-08	H4	5	 4.4	 0.645	 2.741	1	NA	4.30772472837	67.6640667275874
2017-12-08	H4	6	 3.9	 0.596	 2.440	1	NA	4.79164213659	69.26778672706399
2017-12-08	H4	7	 3.8	 0.582	 2.441	1	NA	3.96327153871	66.82150501221314
2017-12-08	H4	8	 3.8	 0.500	 2.255	1	NA	6.0917635506	70.89032167739737
2017-12-11	MS	1	19.6	 0.003	 4.350	0	NA	NA	85.4
2017-12-12	H4	2	 4.4	 0.179	 1.946	1	NA	20.1597283725	68.64566495449247
2017-12-12	H4	3	 5.1	 0.168	 2.389	1	NA	16.2407662874	70.55250082279436
2017-12-12	H4	4	 4.2	 0.131	 1.941	1	NA	12.6440395207	69.0646192544978
2017-12-12	H4	5	 5.0	 0.196	 1.999	1	NA	21.9960703538	70.48646505347625
2017-12-12	H4	6	 5.3	 0.579	 2.535	1	NA	15.125061098	69.726846972506
2017-12-12	H4	7	 6.3	 1.132	 3.286	1	NA	15.1614270297	68.83891168861585
2017-12-12	H4	8	 5.2	 0.610	 2.502	1	NA	17.2083836078	70.99887856482799
2017-12-21	MS	1	 4.8	 0.015	 2.753	0	NA	NA	90.1
2017-12-21	MS	1	 4.6	 0.024	 2.971	0	NA	NA	88.1
2018-01-03	MS	1	12.5	 0.000	 1.382	0	NA	NA	94.8
2018-01-11	H4	1	 6.5	 0.673	 2.592	1	NA	17.1144391726	80.84383379603611
2018-01-11	H4	2	 6.3	 0.644	 2.570	1	NA	15.4351786118	80.78407809680832
2018-01-11	H4	3	 7.9	 0.642	 3.090	1	NA	20.2625665662	81.97757216614632
2018-01-11	H4	4	 8.8	 0.226	 1.768	1	NA	18.7641241779	82.84199466223029
2018-01-11	H4	5	 5.6	 0.178	 1.562	1	NA	17.8886425009	82.12982349218275
2018-01-11	H4	6	 5.5	 0.181	 1.696	1	NA	19.4978440814	82.19496917771745
2018-01-11	H4	7	 6.0	 0.206	 2.064	1	NA	12.817447464	79.29880984265787
2018-01-11	H4	8	 5.8	 0.178	 2.032	1	NA	11.6954864576	78.50651291219845
2018-01-15	MS	1	 6.6	 0.369	 4.192	0	NA	NA	87.95674866599711
2018-01-15	MS	1	 5.5	 0.062	 3.680	0	NA	NA	92.56397278468164
2018-01-17	H4	1	 3.5	 0.077	 1.033	1	NA	8.3263499508	84.22273739004494
2018-01-17	H4	2	 3.5	 0.074	 1.045	1	NA	7.94593687804	84.537641744652
2018-01-17	H4	3	 3.3	 0.020	 1.034	1	NA	8.58538548394	83.21477661650727
2018-01-17	H4	4	 3.8	 0.022	 1.006	1	NA	9.55494691467	81.98405099884005
2018-01-17	H4	5	 3.4	 0.129	 1.453	1	NA	10.6510548774	82.7642294147783
2018-01-17	H4	6	 3.6	 0.138	 1.364	1	NA	4.03096943036	76.77274564697476
2018-01-17	H4	7	 3.7	 0.136	 1.402	1	NA	19.1134865222	79.56283179896886
2018-02-01	H4	1	 5.8	 0.012	 1.325	1	NA	6.12089912966	77.06640786947526
2018-02-01	H4	2	 5.4	 0.012	 1.420	1	NA	5.77312553145	75.04932645979123
2018-02-01	H4	3	 6.1	 0.011	 1.584	1	NA	6.23292188768	75.12310610295604
2018-02-01	H4	4	 6.3	 0.007	 1.732	1	NA	6.20878875321	77.22308787476896
2018-02-01	H4	5	 5.4	 0.007	 1.355	1	NA	6.68236233936	76.14280877729031
2018-02-01	H4	6	 6.2	 0.007	 1.206	1	NA	6.93257177512	75.83068420050972
2018-02-01	H4	7	 5.7	 0.155	 2.599	1	TruSeq RNA	2.6131910534	64.72989093895951
2018-02-01	H4	8	 6.7	 0.189	 2.383	1	TruSeq RNA	4.48238305523	68.54722363426488
2018-02-05	MS	1	 5.1	 0.284	 2.994	0	NA	NA	89.7087293932092
2018-02-05	MS	1	 4.6	 0.048	 2.732	0	NA	NA	93.1957733579109
2018-02-14	HX	1	 3.0	 0.314	 1.909	1	Nextera Flex	3.81495536692	67.08043969542437
2018-02-14	HX	2	 2.9	 0.279	 1.833	1	Nextera Flex	3.87188548542	64.90026987669557
2018-02-14	HX	3	 3.3	 0.333	 2.298	1	Nextera Flex	3.38728225654	61.959283812158006
2018-02-14	HX	4	 3.2	 0.279	 2.122	1	Nextera Flex	5.04238158418	67.83764654020092
2018-02-14	HX	5	 2.7	 0.268	 1.742	1	Nextera Flex	3.71934426924	61.19637085559887
2018-02-14	HX	6	 2.8	 0.249	 1.912	1	Nextera Flex	3.59092965507	62.52601128649496
2018-02-14	HX	7	 2.7	 0.241	 1.705	1	Nextera Flex	3.50162310606	59.51086508588874
2018-02-14	HX	8	22.5	 0.303	21.078	1	Nextera Flex	2.46390854904	56.98763958346758
2018-02-16	MS	1	 3.4	 0.006	 1.245	1	TruSeq Nano	NA	83.7400220811742
2018-02-19	NS	1	 8.2	 0.011	 5.590	0	NA	NA	83.24361680244505
2018-02-19	NS	2	 8.7	 0.015	 6.111	0	NA	NA	83.24361680244505
2018-02-19	NS	3	 8.9	 0.017	 6.295	0	NA	NA	83.24361680244505
2018-02-19	NS	4	10.6	 0.016	 7.733	0	NA	NA	83.24361680244505
2018-02-20	NS	1	 7.0	 0.012	 4.676	0	NA	NA	87.5100783920678
2018-02-20	NS	2	 8.0	 0.014	 5.566	0	NA	NA	87.5100783920678
2018-02-20	NS	3	 8.5	 0.012	 5.812	0	NA	NA	87.5100783920678
2018-02-20	NS	4	 9.0	 0.014	 6.508	0	NA	NA	87.5100783920678
2018-02-21	NS	1	 4.2	 0.000	 1.373	0	TruSeq RNA	NA	90.12516156841205
2018-02-21	NS	2	 4.7	 0.000	 1.772	0	TruSeq RNA	NA	90.12516156841205
2018-02-21	NS	3	 4.2	 0.000	 1.349	0	TruSeq RNA	NA	90.12516156841205
2018-02-21	NS	4	 4.8	 0.000	 1.754	0	TruSeq RNA	NA	90.12516156841205
2018-02-22	HX	1	 4.3	 0.814	 1.766	1	TruSeq PCR-free	7.74133018517	74.23112079464697
2018-02-22	HX	2	 4.1	 0.747	 1.684	1	TruSeq PCR-free	7.55205842915	73.73116917111643
2018-02-22	HX	3	 4.6	 0.677	 1.739	1	TruSeq PCR-free	6.84700627638	71.68573277788673
2018-02-22	HX	4	 4.3	 0.654	 1.650	1	TruSeq PCR-free	7.07844919516	71.31774048262987
2018-02-22	HX	5	 3.7	 0.705	 1.703	1	TruSeq Nano	6.96183879023	74.58077391353261
2018-02-22	HX	6	 3.6	 0.635	 1.631	1	TruSeq Nano	6.53988432114	73.59071820454774
2018-02-22	HX	7	 3.8	 0.616	 1.648	1	TruSeq Nano	6.50461681476	73.19602001190243
2018-02-22	HX	8	 3.0	 0.070	 1.298	1	TruSeq Nano	3.99531946664	75.7162103142316
2018-02-22	NS	1	 4.6	 0.000	 1.192	0	TruSeq RNA	NA	87.49209852363538
2018-02-22	NS	2	 5.4	 0.000	 1.589	0	TruSeq RNA	NA	87.49209852363538
2018-02-22	NS	3	 4.4	 0.000	 1.181	0	TruSeq RNA	NA	87.49209852363538
2018-02-22	NS	4	 5.4	 0.000	 1.572	0	TruSeq RNA	NA	87.49209852363538
2018-02-23	NS	1	 4.0	 0.000	 1.239	0	TruSeq RNA	NA	90.18004333187486
2018-02-23	NS	2	 4.6	 0.000	 1.655	0	TruSeq RNA	NA	90.18004333187486
2018-02-23	NS	3	 4.1	 0.000	 1.215	0	TruSeq RNA	NA	90.18004333187486
2018-02-23	NS	4	 4.8	 0.000	 1.599	0	TruSeq RNA	NA	90.18004333187486
2018-02-26	NS	1	 4.1	 0.000	 1.341	0	TruSeq RNA	NA	91.18022793315531
2018-02-26	NS	2	 4.7	 0.000	 1.676	0	TruSeq RNA	NA	91.18022793315531
2018-02-26	NS	3	 3.9	 0.000	 1.391	0	TruSeq RNA	NA	91.18022793315531
2018-02-26	NS	4	 4.5	 0.000	 1.683	0	TruSeq RNA	NA	91.18022793315531
2018-02-28	H4	1	 5.3	 0.008	 1.325	1	NA	NA	NA
2018-02-28	H4	2	 4.9	 0.033	 1.153	1	NA	NA	NA
2018-02-28	H4	3	 4.5	 0.027	 1.024	1	NA	NA	NA
2018-02-28	H4	4	 4.0	 0.024	 1.023	1	NA	NA	NA
2018-02-28	H4	5	 4.8	 0.050	 1.090	1	NA	NA	NA
2018-02-28	H4	6	 5.2	 0.012	 1.183	1	NA	NA	NA
2018-02-28	H4	7	 4.9	 0.019	 1.131	1	NA	NA	NA
2018-02-28	H4	8	 5.0	 0.395	 1.436	1	NA	NA	NA
2018-03-02	MS	1	 9.8	 0.000	 0.878	0	NA	NA	95.468590171366
2018-03-06	MS	1	21.3	 0.044	 2.673	0	NA	NA	92.88709406663115
2018-03-07	HX	1	 3.3	 0.532	 1.535	1	TruSeq PCR-free	9.33907867906	73.8916143070102
2018-03-07	HX	2	 3.1	 0.559	 1.552	1	TruSeq PCR-free	8.53486838393	75.46979730098322
